,time,BlkCnt,PriceBTC,PriceUSD,HashRate,DiffLast,BlkHeight,Reward,BTCGenFrmBlk,totalBTC,btcSupplyOnDate,s2f_ratio_10,s2f_ratio_usd_10,s2f_ratio_463,s2f_ratio_usd_463
2018-05-25,,,,,,,,,,,17054911.08574205,24.151533587859863,6591.588056248403,23.102395903329025,5692.9933673965525
2018-05-26,,,,,,,,,,,17056936.08574205,24.423266865160368,6839.508540961841,23.101514775162954,5692.276865026979
2018-05-27,,,,,,,,,,,17058986.08574135,23.924914462027996,6389.675520161222,23.0999835642019,5691.031887755554
2018-05-28,,,,,,,,,,,17060936.08571405,23.805510687963743,6285.043150824588,23.09522403715916,5687.1632846217435
2018-05-29,,,,,,,,,,,17062673.58571395,24.038008653937577,6489.892645229312,23.100791627668517,5691.688873931164
2018-05-30,,,,,,,,,,,17064848.58568665,23.585234030293034,6095.160303334921,23.091555650186933,5684.182824818743
2018-05-31,,,,,,,,,,,17066973.58565935,23.395937460299553,5935.208717796096,23.08362722280288,5677.744922993279
2018-06-01,,,,,,,,,,,17069048.58565935,23.180799695275745,5757.00056580122,23.0811100507872,5675.702036685652
2018-06-02,,,,,,,,,,,17070948.58565935,23.32826932954238,5878.747720552754,23.08758667819112,5680.959374543184
2018-06-03,,,,,,,,,,,17072986.08565935,23.043036542582485,5644.864783331501,23.091863676424257,5684.433045475163
2018-06-04,,,,,,,,,,,17075273.58563205,22.94697804737688,5567.582430242021,23.09341488081129,5685.693260590568
2018-06-05,,,,,,,,,,,17077461.08560475,22.768005873014452,5425.565212355844,23.085921235611057,5679.607144063879
2018-06-06,,,,,,,,,,,17079298.58557668,23.008959290584386,5617.363460150453,23.090595665506108,5683.403044399517
2018-06-07,,,,,,,,,,,17081086.08554928,23.197166763280734,5770.425287265968,23.093487454275625,5685.752224820692
2018-06-08,,,,,,,,,,,17082892.33552198,23.120643641969195,5707.845919748741,23.10034481105686,5691.3255885851295
2018-06-09,,,,,,,,,,,17084679.83552127,23.57542273618186,6086.797008616615,23.105635723263994,5695.628415256315
2018-06-10,,,,,,,,,,,17086267.33552127,24.235222326492423,6667.263693714459,23.10961417372935,5698.865377358942
2018-06-11,,,,,,,,,,,17088017.33549324,24.6534521687299,7054.545696176191,23.11451073157643,5702.851093380682
2018-06-12,,,,,,,,,,,17089829.83546594,24.770458858166638,7165.638188626635,23.116068383582544,5704.119403219736
2018-06-13,,,,,,,,,,,17091617.33543784,25.105832888501958,7490.810254701002,23.12204829110704,5708.990337169177
2018-06-14,,,,,,,,,,,17093529.83540978,25.62496243042776,8014.218673739757,23.12100478935507,5708.140144048444
2018-06-15,,,,,,,,,,,17095442.33540832,26.020196109398448,8429.413744849877,23.122018909751457,5708.966397500339
2018-06-16,,,,,,,,,,,17097517.33540832,25.68375947691658,8075.062007524619,23.12155030657702,5708.58459323219
2018-06-17,,,,,,,,,,,17099479.83540756,25.44206400835098,7826.998130383616,23.12160699432853,5708.630779820845
2018-06-18,,,,,,,,,,,17101529.83538026,25.11197591455116,7496.860495508203,23.12144568373954,5708.499352010568
2018-06-19,,,,,,,,,,,17103467.33537952,24.914087754244314,7303.667126974061,23.120781264598683,5707.958038715085
2018-06-20,,,,,,,,,,,17105404.83537873,24.460714136569663,6874.175908403784,23.123886869540375,5710.488533808218
2018-06-21,,,,,,,,,,,17107529.83412755,23.993075785973193,6449.945726507679,23.117322314809194,5705.140552855694
2018-06-22,,,,,,,,,,,17109417.33410025,23.90374211539494,6371.034515600999,23.120698007539684,5707.89021033052
2018-06-23,,,,,,,,,,,17111417.33410025,23.649672741198753,6150.287987060775,23.121493335304727,5708.538175906161
2018-06-24,,,,,,,,,,,17113554.83409953,23.38656262391176,5927.36407734803,23.11974430623532,5707.113283025523
2018-06-25,,,,,,,,,,,17115517.33409953,23.33092471716548,5880.956238932566,23.12528153972945,5711.625187084582
2018-06-26,,,,,,,,,,,17117342.33409953,23.628003198031685,6131.710954985538,23.124456704584755,5710.952929123143
2018-06-27,,,,,,,,,,,17118854.83407223,24.179557774859532,6616.861925514203,23.133808228725307,5718.577850029184
2018-06-28,,,,,,,,,,,17120817.33404493,24.292163132654956,6719.097275317427,23.137291348635493,5721.419682473883
2018-06-29,,,,,,,,,,,17122704.83401763,24.35806000508011,6779.433450886057,23.13895341733936,5722.776089650866
2018-06-30,,,,,,,,,,,17124467.33401689,24.5844596378559,6989.606172843721,23.153472374598287,5734.634480564775
2018-07-01,,,,,,,,,,,17126304.83401612,24.964018657369184,7352.082133567894,23.151288337317236,5732.84956989928
2018-07-02,,,,,,,,,,,17128067.33401612,25.13411056047962,7518.689062781968,23.1623832355776,5741.920921037468
2018-07-03,,,,,,,,,,,17129517.33390629,25.900881733849225,8302.531200357957,23.169947459138402,5748.111273192923
2018-07-04,,,,,,,,,,,17131192.33390629,26.58338886688894,9046.626100512802,23.17955510584655,5755.98061061529
2018-07-05,,,,,,,,,,,17132904.83387826,26.968701026220437,9486.600237872894,23.182342880200636,5758.265398306236
2018-07-06,,,,,,,,,,,17134904.83379718,26.70282085122654,9181.445782549643,23.186572804230494,5761.733341594203
2018-07-07,,,,,,,,,,,17136854.83379718,26.05609603600797,8467.853732934427,23.182134509986312,5758.094601619421
2018-07-08,,,,,,,,,,,17138829.83379718,26.040999031541396,8451.673702862849,23.176016571130262,5753.081429266196
2018-07-09,,,,,,,,,,,17140529.83376909,26.31782370115158,8751.800658454677,23.186002643465606,5761.265805029677
2018-07-10,,,,,,,,,,,17142392.33368776,26.17369580015259,8594.629743537087,23.197947212515032,5771.065977758835
2018-07-11,,,,,,,,,,,17144079.83366046,26.39740311996405,8839.434468552596,23.19691478064439,5770.218438941296
2018-07-12,,,,,,,,,,,17145842.33363316,26.4001197665459,8842.436821581934,23.2066577303047,5778.220026884178
2018-07-13,,,,,,,,,,,17147629.83349486,25.910385392675067,8312.58856024575,23.21058668144664,5781.448941795495
2018-07-14,,,,,,,,,,,17149292.33349486,25.93081468752438,8334.236844014706,23.222951356796294,5791.618761971162
2018-07-15,,,,,,,,,,,17150954.83349486,26.005244484950797,8413.440170167347,23.226704519856344,5794.708165523215
2018-07-16,,,,,,,,,,,17152454.83346756,26.749256770274265,9234.240469815182,23.2423003764267,5807.558146017569
2018-07-17,,,,,,,,,,,17154442.33344026,26.695259797407285,9172.86930852493,23.240998903563984,5806.485057501308
2018-07-18,,,,,,,,,,,17156617.33341148,26.39814431086873,8840.253539120238,23.24169084349628,5807.055557603557
2018-07-19,,,,,,,,,,,17158754.83338348,25.766999562449097,8161.748543240345,23.234740863083985,5801.327116824519
2018-07-20,,,,,,,,,,,17160679.83335618,25.68172757348789,8072.954035890275,23.228182379338143,5795.92497570131
2018-07-21,,,,,,,,,,,17162392.33335618,25.649191817891634,8039.252457760659,23.231316220254786,5798.505843714291
2018-07-22,,,,,,,,,,,17164667.33335618,24.953472081946064,7341.837174128651,23.223538766449774,5792.102210458928
2018-07-23,,,,,,,,,,,17166742.33332888,24.580671377889004,6986.0525707863635,23.219613089024325,5788.87184287594
2018-07-24,,,,,,,,,,,17168729.83330082,24.172019563499468,6610.056892178685,23.21522076781843,5785.258971420867
2018-07-25,,,,,,,,,,,17170942.3332728,23.509152157141664,6030.516300570585,23.20771324514056,5779.0873531047555
2018-07-26,,,,,,,,,,,17173004.8332728,22.867653229382864,5504.321315852224,23.203090874712498,5775.289780223636
2018-07-27,,,,,,,,,,,17175092.33327127,22.759550862482378,5418.919177615362,23.196102944949395,5769.552051765971
2018-07-28,,,,,,,,,,,17176904.83327054,23.169159027477335,5747.465825402417,23.206242618694027,5777.878950724023
2018-07-29,,,,,,,,,,,17179029.83316199,23.18633180187259,5761.535714431946,23.200681223746773,5773.310787708199
2018-07-30,,,,,,,,,,,17180704.83316199,23.47843278062456,6004.5511330361105,23.20959493431217,5780.633779412026
2018-07-31,,,,,,,,,,,17182542.33315121,23.33511337290177,5884.441170591407,23.204310300469043,5776.2914475106245
2018-08-01,,,,,,,,,,,17184417.33311234,23.81087920274089,6289.721703047226,23.206293815759402,5777.921015997825
2018-08-02,,,,,,,,,,,17186329.83261354,24.01131971608049,6466.144502432465,23.209017693588898,5780.159355712305
2018-08-03,,,,,,,,,,,17188404.83253624,23.907302571566017,6374.166633033506,23.20544669829771,5777.225022541294
2018-08-04,,,,,,,,,,,17190604.83253624,23.925583922527323,6390.265559928134,23.19484934151501,5768.523149343473
2018-08-05,,,,,,,,,,,17192604.83229624,24.00476053803183,6460.317351085105,23.202156507031564,5774.522348805065
2018-08-06,,,,,,,,,,,17194242.33226815,24.571827651834905,6977.761557123767,23.21135415927591,5782.079821954584
2018-08-07,,,,,,,,,,,17196129.83224085,24.478551761959068,6890.732336942352,23.213697960988338,5784.0067648414915
